variable,combined_score,num_methods
f0_m_GA_Del,90.75582376,5
f0_m_plac_wt,52.32099003,5
f0_m_abd_cir_v2,18.86579487,5
f0_m_wt_v2,15.49422253,5
f0_m_fundal_ht_v2,12.1896052,5
f0_m_hip_circ_v2,7.872857079,5
f0_m_rcf_v2,7.567674228,5
f0_m_ht,7.165084632,5
f0_m_bmi_v2,6.574523033,5
f0_m_wt_prepreg,5.948720445,5
f0_m_snacks_sc_v1,5.64237865,5
f0_m_waist_circ_v2,5.616109501,5
f0_m_j8_sc_v1,4.873250126,5
f0_m_f10_sc_v1,4.520370022,5
f0_m_bmi_6yr,4.358027311,5
f0_m_age,4.16231034,5
f0_m_m2_sc_v1,4.106972396,5
f0_m_n_sc_v1,3.882538091,5
f0_m_g1_sc_v2,3.865684532,5
f0_m_o_sc_v1,3.86100271,5
f0_m_g_sc_v2,3.851168203,5
f0_f_wt_ini,3.628382632,5
f0_m_glv_sc_v,3.253433538,5
f0_m_p10_sc_v1,3.00728807,5
