feature,importance
f0_m_plac_wt,0.2675310603901298
f0_m_GA_Del,0.25446593443600163
f0_m_abd_cir_v2,0.05997211726152272
f0_m_fundal_ht_v2,0.05989524474831344
f0_m_rcf_v2,0.036752640722965114
f0_m_wt_v2,0.030558568268976582
f0_m_glu_f_v2,0.029822888297101356
f0_m_g_sc_v1,0.02650667163130041
f0_f_plt_ini,0.02606274610768259
f0_m_p_sc_v1,0.025265980104614907
f0_m_pulse_r2_v2,0.024969797574529967
f0_m_pulse_r1_v2,0.023586000686927303
f0_f_head_cir_ini,0.023489114973761778
f0_m_wt_prepreg,0.021762340998431037
f0_m_lunch_cal_v1,0.02016987867876797
f0_m_o_sc_v1,0.02015420280386597
f0_m_age_eld_child,0.018872784957991454
f0_m_r4_v2,0.012684834074465037
f0_m_parity_v1,0.011161803100032354
f1_sex,0.006315390182618615
